Tauchgangs-Nr.: 128
Modell: XP5
Serien Nr.: 7278
Tauchgangsnr.: 6
Datum des Tauchgangs: 18/05/2010
Dauer des Tauchgangs: 12:07
Tauchmodus: Normal
Oberflächeninterval: 01:27
Maximale Tiefe: 15,5 M
Tauchzeit gesamt: 47 Min.
Temperatur Min.: 13,33333 C

Tauchflaschengröße:
Arbeitsdruck:
Anfangsdruck: 0 BAR
End Druck: 0 BAR
Tauchflaschengröße: 0 L
Arbeitsdruck: 0 BAR
SAC: 0 L/Min
FO2: Luft
N1: 8,6
N2: 120,07
N3: 148,
N4: 0,03
N5: 7,66
N6: 244,36
N7: 49,
N8: 0,01
N9: 3,38
N10: 2,9
OTUD: 0,
OTUS: 0,
Abtastrate: 30 Secs
Tauchdatentyp: Tauchcomputer

Abgelaufene Tauchzeit (Std:Min.)	Tiefe	Stickstoff Balkenanzeige	Sauerstoff Balkenanzeige	Aufstiegsgeschwindigkeit	Restluftzeit	Restliche Tauchzeit	Dekompressionszeit (Std:Min)	Dekostopp-Tiefe	Temperatur	PO2	Pressluftflasche	Lesen des Druckes	Status der Verbindung	Tauchstatus
00:16:00	8,8 M	2	0	0-3 MPM	Nicht verfügbar	03:44	0:00	0 M	13,3	 	Nicht verfügbar	Nicht verfügbar	Nicht verfügbar
00:16:15	9,1 M	2	0	0-3 MPM	Nicht verfügbar	03:25	0:00	0 M	13,3	 	Nicht verfügbar	Nicht verfügbar	Nicht verfügbar
00:16:30	11,0 M	2	0	0-3 MPM	Nicht verfügbar	02:13	0:00	0 M	13,3	 	Nicht verfügbar	Nicht verfügbar	Nicht verfügbar
00:16:45	11,9 M	3	0	0-3 MPM	Nicht verfügbar	01:50	0:00	0 M	13,3	 	Nicht verfügbar	Nicht verfügbar	Nicht verfügbar
00:17:00	12,8 M	3	0	0-3 MPM	Nicht verfügbar	01:34	0:00	0 M	13,3	 	Nicht verfügbar	Nicht verfügbar	Nicht verfügbar
00:17:15	14,0 M	3	0	0-3 MPM	Nicht verfügbar	01:15	0:00	0 M	13,3	 	Nicht verfügbar	Nicht verfügbar	Nicht verfügbar
00:17:30	15,5 M	3	0	0-3 MPM	Nicht verfügbar	00:57	0:00	0 M	13,3	 	Nicht verfügbar	Nicht verfügbar	Nicht verfügbar
00:17:45	14,9 M	3	0	0-3 MPM	Nicht verfügbar	01:03	0:00	0 M	13,3	 	Nicht verfügbar	Nicht verfügbar	Nicht verfügbar
00:18:00	14,9 M	3	0	0-3 MPM	Nicht verfügbar	01:02	0:00	0 M	13,3	 	Nicht verfügbar	Nicht verfügbar	Nicht verfügbar
00:18:15	14,9 M	3	0	0-3 MPM	Nicht verfügbar	01:02	0:00	0 M	13,3	 	Nicht verfügbar	Nicht verfügbar	Nicht verfügbar
00:18:30	15,2 M	3	0	0-3 MPM	Nicht verfügbar	00:59	0:00	0 M	13,3	 	Nicht verfügbar	Nicht verfügbar	Nicht verfügbar
00:18:45	14,0 M	3	0	3-7.5 MPM	Nicht verfügbar	01:13	0:00	0 M	13,3	 	Nicht verfügbar	Nicht verfügbar	Nicht verfügbar
00:19:00	13,1 M	3	0	3-7.5 MPM	Nicht verfügbar	01:27	0:00	0 M	13,3	 	Nicht verfügbar	Nicht verfügbar	Nicht verfügbar
00:19:15	13,1 M	3	0	0-3 MPM	Nicht verfügbar	01:27	0:00	0 M	13,3	 	Nicht verfügbar	Nicht verfügbar	Nicht verfügbar
00:19:30	12,5 M	3	0	0-3 MPM	Nicht verfügbar	01:36	0:00	0 M	13,3	 	Nicht verfügbar	Nicht verfügbar	Nicht verfügbar
00:19:45	12,8 M	3	0	0-3 MPM	Nicht verfügbar	01:31	0:00	0 M	13,3	 	Nicht verfügbar	Nicht verfügbar	Nicht verfügbar
